isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol,Fund size,Volatility,1 year,3 year,5 year
BG9000011163,Expat Bulgaria SOFIX UCITS ETF,BGX,4.0,equity,BGN,Bulgaria,False,Accumulating,1.3,10.0,SOFIX,BGX.DE,EUR 8 m,16.36%,+21.43%,+70.00%,+93.18%
BGCROEX03189,Expat Croatia CROBEX UCITS ETF,ECDC,0.0,equity,EUR,Bulgaria,False,Accumulating,1.38,12.0,CROBEX,ECDC.DE,EUR 0 m,12.29%,+17.39%,+77.63%,+68.75%
BGCZPX003174,Expat Czech PX UCITS ETF,CZX,0.0,equity,EUR,Bulgaria,False,Accumulating,1.38,7.0,PX,CZX.DE,EUR 1 m,17.20%,+21.93%,+96.55%,+128.00%
BGGRASE06174,Expat Greece ASE UCITS ETF,GRX,0.0,equity,EUR,Bulgaria,False,Accumulating,1.38,20.0,FTSE ATHEX Composite,GRX.DE,EUR 0 m,19.36%,+26.62%,+89.32%,+124.14%
BGHUBUX01189,Expat Hungary BUX UCITS ETF,HUBE,0.0,equity,EUR,Bulgaria,False,Accumulating,1.38,15.0,BUX,HUBE.DE,EUR 1 m,24.37%,+41.28%,+144.44%,+75.00%
BGMACMB06181,Expat Macedonia MBI10 UCITS ETF,MKK1,0.0,equity,EUR,Bulgaria,False,Accumulating,1.38,7.0,MBI10,MKK1.DE,EUR 0 m,8.37%,-7.75%,+47.83%,+46.01%
BGPLWIG04173,Expat Poland WIG20 UCITS ETF,PLX,0.0,equity,EUR,Bulgaria,False,Accumulating,1.38,18.0,WIG 20,PLX.DE,EUR 1 m,19.82%,+25.93%,+92.45%,+37.84%
BGROBET05176,Expat Romania BET UCITS ETF,ROX,2.0,equity,EUR,Bulgaria,False,Accumulating,1.38,19.0,BET,ROX.DE,EUR 2 m,15.88%,+66.67%,+123.27%,+161.03%
BGSKSAX04187,Expat Slovakia SAX UCITS ETF,SK9A,0.0,equity,EUR,Bulgaria,False,Accumulating,1.38,1.0,SAX,SK9A.DE,EUR 0 m,16.10%,-13.73%,-24.14%,-47.62%
BGSLOBI02187,Expat Slovenia SBI TOP UCITS ETF,SLQX,3.0,equity,EUR,Bulgaria,False,Accumulating,1.38,7.0,SBI TOP,SLQX.DE,EUR 1 m,16.21%,+31.76%,+145.60%,+171.68%
BGSRBBE05183,Expat Serbia BELEX15 UCITS ETF,ESNB,0.0,equity,EUR,Bulgaria,False,Accumulating,1.38,3.0,BELEX15,ESNB.DE,EUR 0 m,10.27%,-2.22%,-7.37%,-8.33%
CH1390861313,Leonteq FuW Swiss 50 Index ETP EUR,FW50,,equity,EUR,Switzerland,False,Accumulating,0.72,,FuW Swiss 50,,EUR - m,12.90%,+9.29%,-,-
DE0005933923,iShares MDAX UCITS ETF (DE),EXS3,2337.0,equity,EUR,Germany,False,Accumulating,0.51,50.0,MDAX®,EXS3.BE,"EUR 1,658 m",18.17%,+7.90%,+22.03%,-2.96%
DE0005933931,iShares Core DAX® UCITS ETF (DE) EUR (Acc),EXS1,8706.0,equity,EUR,Germany,False,Accumulating,0.16,40.0,DAX®,EXS1.BE,"EUR 8,678 m",15.72%,+4.47%,+55.02%,+57.35%
DE0005933972,iShares TecDAX UCITS ETF (DE),EXS2,639.0,equity,EUR,Germany,False,Accumulating,0.51,30.0,TecDAX®,EXS2.BE,EUR 661 m,17.45%,+7.30%,+26.44%,+17.55%
DE000A0Q4R69,iShares DAX ESG UCITS ETF (DE),EXIA,116.0,equity,EUR,Germany,False,Accumulating,0.12,40.0,DAX® ESG Target,,EUR 123 m,15.72%,+5.07%,+54.92%,+55.53%
DE000A0Q4R85,iShares MSCI Brazil UCITS ETF (DE) USD (Acc),4BRZ,3643.0,equity,USD,Germany,False,Accumulating,0.31,45.0,MSCI Brazil,,"EUR 4,223 m",21.18%,+33.93%,+36.45%,+48.72%
DE000A2QP372,iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR (Acc),EXI4,243.0,equity,EUR,Germany,False,Accumulating,0.52,29.0,EURO STOXX® Banks 30-15,,EUR 234 m,23.31%,+40.16%,+207.48%,-
DE000A2QP380,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE) EUR (Acc),EXI0,29.0,equity,EUR,Germany,False,Accumulating,0.32,30.0,EURO STOXX® Select Dividend 30,,EUR 39 m,11.16%,+22.02%,+76.06%,-
DE000A2QP398,iShares STOXX Europe 600 Technology UCITS ETF (DE) EUR (Acc),EXH0,16.0,equity,EUR,Germany,False,Accumulating,0.39,27.0,STOXX® Europe 600 Technology,,EUR 21 m,22.45%,+16.61%,+39.59%,-
DE000A2QP4A8,iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE) EUR (Acc),EXHG,10.0,equity,EUR,Germany,False,Accumulating,0.41,13.0,STOXX® Europe 600 Automobiles & Parts,,EUR 8 m,22.16%,-10.41%,-13.82%,-
DE000A2QP4B6,iShares STOXX Europe 600 UCITS ETF (DE) EUR (Acc),EXIE,849.0,equity,EUR,Germany,False,Accumulating,0.2,600.0,STOXX® Europe 600,,EUR 912 m,12.09%,+17.16%,+47.83%,-
DE000A2QP4C4,iShares Dow Jones Global Titans 50 UCITS ETF (DE) EUR (Acc),EXIF,4.0,equity,EUR,Germany,False,Accumulating,0.51,53.0,Dow Jones Global Titans 50,,EUR 7 m,12.65%,+34.83%,-,-
DE000ETFL011,Deka DAX UCITS ETF,EL4A,1715.0,equity,EUR,Germany,False,Accumulating,0.15,40.0,DAX®,EL4A.BE,"EUR 1,837 m",15.66%,+4.44%,+54.66%,+57.39%
DE000ETFL342,Deka MSCI Emerging Markets UCITS ETF ,EL40,170.0,equity,USD,Germany,False,Accumulating,0.65,,MSCI Emerging Markets,EL40.BE,EUR 241 m,16.68%,+46.57%,+72.83%,+44.57%
DE000ETFL441,Deka MDAX UCITS ETF,ELF1,396.0,equity,EUR,Germany,False,Accumulating,0.3,50.0,MDAX®,ELF1.BE,EUR 401 m,18.06%,+8.03%,+21.91%,-2.29%
DE000ETFL656,Deka STOXX Future Water ESG UCITS ETF ,EFQA,5.0,equity,EUR,Germany,False,Accumulating,0.55,,STOXX® Future Water ESG,,EUR 5 m,-,-,-,-
DE000ETFL664,Deka Europe Defense UCITS ETF ,D6RU,235.0,equity,EUR,Germany,False,Accumulating,0.4,,Solactive Europe Defense,,EUR 239 m,-,-,-,-
FR0007054358,Amundi EURO STOXX 50 II UCITS ETF Acc,LYSX,3923.0,equity,EUR,France,False,Accumulating,0.2,54.0,EURO STOXX® 50,LYSX.BE,"EUR 4,199 m",15.44%,+15.38%,+51.94%,+71.08%
FR0010261198,Amundi MSCI Europe UCITS ETF Acc,LYY5,611.0,equity,EUR,France,False,Accumulating,0.25,406.0,MSCI Europe,LYY5.BE,EUR 600 m,12.00%,+17.15%,+46.51%,+61.25%
FR0010342592,Amundi Nasdaq-100 Daily (2x) Leveraged UCITS ETF Acc,L8I7,1049.0,equity,EUR,France,False,Accumulating,0.6,,Nasdaq 100® Leverage (2x),L8I7.BE,"EUR 1,277 m",30.97%,+82.55%,+214.37%,+230.27%
FR0010361683,Amundi MSCI India Swap UCITS ETF EUR Acc,LYMD,1017.0,equity,EUR,France,False,Accumulating,0.85,,MSCI India,LYMD.BE,EUR 790 m,16.20%,-14.70%,+7.60%,+23.66%
FR0010375766,Amundi MSCI India Swap UCITS ETF USD Acc,NK4G,360.0,equity,USD,France,False,Accumulating,0.85,,MSCI India,NK4G.BE,EUR 196 m,15.60%,-15.20%,+7.69%,+23.28%
FR0010424135,Amundi EURO STOXX 50 Daily (-1x) Inverse UCITS ETF Acc,LSK7,32.0,equity,EUR,France,False,Accumulating,0.4,,EURO STOXX® 50 Short,LSK7.BE,EUR 41 m,15.56%,-11.31%,-26.60%,-39.51%
FR0010424143,Amundi EURO STOXX 50 Daily (-2x) Inverse UCITS ETF Acc,LSK8,26.0,equity,EUR,France,False,Accumulating,0.6,,EURO STOXX® 50 Short Leverage (-2x),LSK8.BE,EUR 24 m,32.09%,-25.00%,-54.55%,-71.52%
FR0010429068,Amundi MSCI Emerging Markets Swap II UCITS ETF EUR Acc,LYM7,904.0,equity,EUR,France,False,Accumulating,0.55,,MSCI Emerging Markets,LYM7.BE,"EUR 1,014 m",17.21%,+47.94%,+75.44%,+48.87%
FR0010435297,Amundi MSCI Emerging Markets Swap II UCITS ETF USD Acc,LNY4,122.0,equity,USD,France,False,Accumulating,0.55,,MSCI Emerging Markets,,EUR 168 m,16.50%,+47.34%,+75.97%,+48.72%
FR0010446146,Amundi FTSE MIB Daily (-1x) Inverse UCITS ETF Acc,BERMIB,24.0,equity,EUR,France,False,Accumulating,0.6,,FTSE MIB Short,BERMIB.MI,EUR 25 m,15.44%,-21.09%,-48.52%,-60.15%
FR0010446666,Amundi FTSE MIB Daily (-2x) Inverse UCITS ETF Acc,XBRMIB,35.0,equity,EUR,France,False,Accumulating,0.6,,FTSE MIB Short Leverage (-2x),XBRMIB.MI,EUR 32 m,40.29%,-42.86%,-78.08%,-87.88%
