isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol,Fund size,Volatility,1 year,3 year,5 year
DE000A2QP4B6,iShares STOXX Europe 600 UCITS ETF (DE) EUR (Acc),EXIE,849.0,equity,EUR,Germany,False,Accumulating,0.2,600.0,STOXX® Europe 600,,EUR 846 m,11.62%,+27.01%,+46.26%,-
DE000A2QP4C4,iShares Dow Jones Global Titans 50 UCITS ETF (DE) EUR (Acc),EXIF,4.0,equity,EUR,Germany,False,Accumulating,0.51,53.0,Dow Jones Global Titans 50,,EUR 7 m,-,-,-,-
FR0007054358,Amundi EURO STOXX 50 II UCITS ETF Acc,LYSX,3923.0,equity,EUR,France,False,Accumulating,0.2,54.0,EURO STOXX® 50,LYSX.BE,"EUR 4,186 m",14.99%,+26.19%,+51.15%,+72.76%
FR0010261198,Amundi MSCI Europe UCITS ETF Acc,LYY5,611.0,equity,EUR,France,False,Accumulating,0.25,406.0,MSCI Europe,LYY5.BE,EUR 628 m,11.57%,+26.39%,+44.42%,+62.66%
FR0010655704,Amundi CAC Transition Climat UCITS ETF,X13J,11.0,equity,EUR,France,False,Accumulating,0.25,69.0,CAC Transition Climat,X13J.BE,EUR 11 m,14.51%,+7.78%,+10.39%,+35.69%
FR0010821819,Amundi ETF MSCI Europe Ex EMU ESG Leaders UCITS ETF,540H,230.0,equity,EUR,France,False,Accumulating,0.3,109.0,MSCI Europe ex EMU ESG Leaders Select 5% Issuer Capped,,EUR 212 m,11.65%,+15.71%,+26.67%,+47.27%
FR0011720911,Amundi MSCI China A UCITS ETF Acc,CNAA,139.0,equity,USD,France,False,Accumulating,0.35,384.0,MSCI China A,CNAA.BE,EUR 120 m,14.26%,+32.81%,+11.83%,+3.32%
FR0011758085,Amundi FTSE Italia PMI PIR 2020 UCITS ETF Acc,ITAMID,181.0,equity,EUR,France,False,Accumulating,0.4,74.0,FTSE Italia PIR PMI,ITAMID.MI,EUR 175 m,14.02%,+23.89%,+42.13%,+50.47%
FR0012399731,Amundi EURO STOXX 50 II UCITS ETF CHF Hedged Acc,MSEC,87.0,equity,CHF,France,True,Accumulating,0.2,54.0,EURO STOXX® 50 (CHF Hedged),,EUR 89 m,15.28%,+20.67%,+46.76%,+89.24%
FR0012399772,Amundi EURO STOXX 50 II UCITS ETF GBP Hedged Acc,NK4B,23.0,equity,GBP,France,True,Accumulating,0.2,54.0,EURO STOXX® 50 (GBP Hedged),,EUR 25 m,16.13%,+27.05%,+61.17%,+84.44%
FR0012399806,Amundi EURO STOXX 50 II UCITS ETF USD Hedged Acc,LYQ4,101.0,equity,USD,France,True,Accumulating,0.2,54.0,EURO STOXX® 50 (USD Hedged),LYQ4.BE,EUR 130 m,14.75%,+24.53%,+49.59%,+94.65%
